-0.577812		 1.321046		 2.294977		 6.671031		-1.802973
-0.490492		-0.265143		 3.616889		 7.425363		-2.120016
 1.485857		 0.049173		 2.669958		 5.885551		-2.339892
 0.589844		 1.009581		 4.371981		 6.584314		-2.252763
 1.878553		 1.919730		 3.707138		 6.522973		-2.545257
 2.852045		 1.522349		 4.423761		 5.359738		-2.488006
 2.660975		 2.899093		 4.264086		 4.972796		-2.384631
 2.221114		 2.447269		 4.489507		 4.617129		-2.402908
 2.805191		 4.332363		 4.965409		 2.989847		-2.284347
 2.287375		 5.154910		 5.281462		 3.270505		-2.165464
 3.507701		 5.271290		 5.528337		 1.463050		-2.168778
 1.989657		 5.286716		 4.894064		 0.593787		-1.853038
 2.791670		 6.345689		 4.695083		 1.226883		-1.777311
 2.599943		 7.539539		 3.264258		-1.244157		-1.514172
 2.998249		 6.407147		 3.961704		-1.656009		-1.453006
 2.378730		 7.992666		 4.019539		-0.768106		-1.327024
 1.968107		 7.422585		 2.717699		-2.261331		-1.135374
 1.703035		 7.298793		 1.295252		-3.216211		-0.891911
 1.383837		 7.707168		 0.637402		-3.438973		-0.653523
 2.695638		 7.950857		 0.157500		-2.585121		-0.818535
 2.136141		 7.739501		 0.469243		-1.548551		-0.899320
 1.590759		 8.082997		 0.050137		-1.480264		-0.745480
 2.269010		 8.950804		-1.058324		-1.286500		-0.679901
 1.507797		 8.028058		-2.437456		-0.720747		-0.518381
 3.166083		 7.219727		-1.655376		 0.334519		-0.616455
 3.299678		 6.959455		-1.829075		 0.540239		-0.622324
 3.257145		 7.602227		-1.359136		 1.330551		-0.435728
 2.475471		 7.275318		-2.501872		 1.274789		-0.094774
 3.113143		 7.774023		-2.490658		 1.186727		 0.217882
 4.202762		 7.677948		-2.105848		 1.654800		 0.484008
 3.183833		 7.019448		-1.780067		 2.863957		 1.015163
 3.648205		 6.491597		-2.281308		 3.036170		 1.628213
 4.434690		 4.846038		-2.239901		 3.409255		 2.137880
 5.037310		 5.605681		-1.203108		 2.629037		 2.853008
 5.631164		 4.488433		-2.626437		 4.380562		 3.321363
 4.849947		 2.936424		-2.359786		 3.794979		 4.120434
 4.363919		 1.713975		-0.683904		 4.011557		 4.626572
 5.145984		 1.824072		-2.128404		 3.934872		 5.057489
 3.770285		 0.183824		-1.058447		 2.997963		 5.555931
 3.274245		 0.851626		-1.695245		 2.704130		 5.837980
 3.285617		-0.057617		 0.158900		 3.661069		 6.147105
 2.072356		-1.829367		-0.063875		 3.718725		 6.314059
 2.028453		-0.622759		-1.244764		 3.329107		 6.538627
 1.777420		-0.297104		 0.065023		 3.255555		 6.947309
-0.360556		-0.379890		 0.206005		 2.805776		 7.030008
